EAN;Menor preço (R$);Origem;Produto;Link
7896512956347;94.85;DROGAL;Protetor Solar Granado Bebê FPS70 120ml;https://www.drogal.com.br/protetor-solar-granado-bebe-fps70-120ml/p
0650240012730;13.09;DROGAL;Sabonete em Barra Asepxia Forte Ação Adstringente 80g;https://www.drogal.com.br/sabonete-em-barra-asepxia-forte-acao-adstringente-80g/p
7896181915041;11.99;DROGAL;Carvedilol 12,5mg Biosintética 30 Comprimidos;https://www.drogal.com.br/carvedilol-125mg-biosintetica-30-comprimidos/p
7894164007356;20.69;DROGAL;Fluive C Imuno Sabor Laranja 10 Comprimidos Efervescentes;https://www.drogal.com.br/fluive-c-imuno-sabor-laranja-10-comprimidos-efervescentes/p
7908079515377;31.99;DROGAL;Refil Sabonete Líquido Facial Zeta Skin Vitta C 250ml;https://www.drogal.com.br/refil-sabonete-liquido-facial-zeta-skin-vitta-c-250ml/p
3282770135442;95.79;DROGAL;Gel Antiacne Actine Trat Darrow Cuidado Diário 30g;https://www.drogal.com.br/gel-antiacne-actine-trat-darrow-cuidado-diario-30g/p
7891721201837;56.49;DROGAL;Zimiex 10 mg  30 comprimidos;https://www.drogal.com.br/zimiex-10mg-30-cpr/p
7896714231204;22.44;DROGAL;Alendronato de Sódio 70mg Neo Química 4 Comprimidos;https://www.drogal.com.br/alendronato-de-sodio-70mg-neo-quimica-4-comprimidos/p
7500435239196;74.09;DROGAL;Fraldas Pampers Confort Sec XXXG 24 Unidades;https://www.drogal.com.br/fraldas-pampers-confort-sec-xxxg-24-unidades/p
7891045031493;157.92;DROGAL;Elifore 100mg - 28 comprimidos revestidos de liberação controlada;https://www.drogal.com.br/elifore-100mg-28-cpr-c1/p
7908414420830;202.65;DROGAL;Aspirador Nasal Elétrico Multikids Baby;https://www.drogal.com.br/aspirador-nasal-eletrico-multikids-baby/p
7891058024314;41.89;DROGAL;Antialérgico Allegra 60mg 10 Comprimidos Revestidos;https://www.drogal.com.br/antialergico-allegra-60mg-10-comprimidos-revestidos/p
7898636192144;35.99;DROGAL;Shampoo Tio Nacho Reconstrutor Total 415ml;https://www.drogal.com.br/shampoo-tio-nacho-reconstrutor-total-aloe-vera-puro-415ml/p
7891150074484;22.05;DROGAL;Loção Hidratante Relaxante Baby Dove Hora de Dormir 200ml;https://www.drogal.com.br/locao-hidratante-relaxante-baby-dove-hora-de-dormir-200ml/p
7612412426007;36.29;DROGAL;Escova Dental Curaprox CuraKid 0 a 4 Anos 1 Unidade;https://www.drogal.com.br/escova-dental-curaprox-curakid-0-a-4-anos-1-unidade/p
7896026173001;149.79;DROGAL;Sérum Facial Fisiogel C22% Antioxidante e Pró-Colágeno 30ml;https://www.drogal.com.br/serum-facial-fisiogel-c22-antioxidante-e-pro-colageno-30ml/p
